ID_TYPE,ID_VALUE,START_TIME,FINISH_TIME,DURATION
TASKID,task_201307250325_0001_r_000056,1374703210665,1374704524961,1314296
TASKID,task_201307250325_0001_r_000057,1374703213720,1374704612632,1398912
TASKID,task_201307250325_0001_m_000226,1374703136008,1374703160388,24380
TASKID,task_201307250325_0001_m_000227,1374703136009,1374703157299,21290
TASKID,task_201307250325_0001_m_000224,1374703136008,1374703157298,21290
TASKID,task_201307250325_0001_m_000225,1374703136008,1374703157299,21291
TASKID,task_201307250325_0001_m_000222,1374703136007,1374703157297,21290
TASKID,task_201307250325_0001_m_000223,1374703136007,1374703157298,21291
TASKID,task_201307250325_0001_m_000220,1374703136006,1374703157296,21290
TASKID,task_201307250325_0001_m_000221,1374703136007,1374703157297,21290
TASKID,task_201307250325_0001_m_000228,1374703136009,1374703157300,21291
TASKID,task_201307250325_0001_m_000229,1374703136009,1374703157300,21291
TASKID,task_201307250325_0001_m_000008,1374703090371,1374703111662,21291
TASKID,task_201307250325_0001_m_000009,1374703090372,1374703111663,21291
TASKID,task_201307250325_0001_m_000002,1374703090369,1374703111657,21288
TASKID,task_201307250325_0001_m_000003,1374703090369,1374703102526,12157
TASKID,task_201307250325_0001_m_000312,1374703157313,1374703183308,25995
TASKID,task_201307250325_0001_m_000313,1374703157313,1374703183309,25996
TASKID,task_201307250325_0001_m_000310,1374703157312,1374703179700,22388
TASKID,task_201307250325_0001_m_000311,1374703157312,1374703179701,22389
TASKID,task_201307250325_0001_m_000316,1374703157507,1374703173300,15793
TASKID,task_201307250325_0001_m_000317,1374703160394,1374703176593,16199
TASKID,task_201307250325_0001_m_000314,1374703157313,1374703183310,25997
TASKID,task_201307250325_0001_m_000315,1374703157314,1374703179701,22387
TASKID,task_201307250325_0001_m_000318,1374703160394,1374703186414,26020
TASKID,task_201307250325_0001_m_000319,1374703160394,1374703183311,22917
TASKID,task_201307250325_0001_m_000165,1374703123835,1374703139062,15227
TASKID,task_201307250325_0001_m_000164,1374703123835,1374703139060,15225
TASKID,task_201307250325_0001_m_000167,1374703126867,1374703142095,15228
TASKID,task_201307250325_0001_m_000166,1374703123851,1374703139107,15256
TASKID,task_201307250325_0001_m_000161,1374703117807,1374703139106,21299
TASKID,task_201307250325_0001_m_000160,1374703117807,1374703139105,21298
TASKID,task_201307250325_0001_m_000163,1374703120809,1374703142094,21285
TASKID,task_201307250325_0001_m_000162,1374703120808,1374703142093,21285
TASKID,task_201307250325_0001_m_000006,1374703090370,1374703111660,21290
TASKID,task_201307250325_0001_m_000007,1374703090371,1374703111661,21290
TASKID,task_201307250325_0001_m_000004,1374703090370,1374703111658,21288
TASKID,task_201307250325_0001_m_000005,1374703090370,1374703111659,21289
TASKID,task_201307250325_0001_m_000169,1374703133002,1374703154261,21259
TASKID,task_201307250325_0001_m_000168,1374703126867,1374703157282,30415
